الرياض;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
ذى الحجة;18;2;20;9;11;20;0;10;5;3;2;20;7;13;20
المجموع;302;35;337;196;141;337;26;117;85;64;45;337;142;195;337
الطائف;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذ كور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;9;19;28;3;25;28;2;7;6;8;5;28;21;7;28
صفر;28;0;28;5;23;28;2;7;8;7;4;28;14;14;28
ربيع أول;36;1;37;6;31;37;8;12;8;4;5;37;24;13;37
ربيع ثانى;29;6;35;8;27;35;7;6;7;7;8;35;21;14;35
جمادى أول;26;2;28;3;25;28;5;7;7;4;5;28;20;8;28
جمادى ثانى;30;3;33;11;22;33;6;8;8;6;5;33;24;9;33
رجب;31;3;34;11;23;34;5;7;10;9;3;34;29;5;34
شعبان;24;9;33;6;27;33;6;8;12;6;1;33;24;9;33
رمضان;32;7;39;6;33;39;5;9;12;10;3;39;28;11;39
شوال;11;6;17;5;12;17;2;4;5;3;3;17;13;4;17
ذى القعدة;9;2;11;4;7;11;1;2;5;1;2;11;8;3;11
ذى الحجة;26;6;32;11;21;32;2;12;13;4;1;32;26;6;32
المجموع;291;64;355;79;276;355;51;89;101;69;45;355;252;103;355
العاصمه- عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذ كــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;51;7;58;13;45;58;3;20;14;11;10;58;36;22;58
صفر;57;4;61;11;50;61;7;13;12;17;12;61;38;23;61
ربيع أول;34;14;48;14;34;48;4;9;9;2;24;48;30;18;48
ربيع ثانى;38;8;46;11;35;46;2;11;8;5;20;46;34;12;46
جمادى أول;36;7;43;13;30;43;4;7;6;12;14;43;25;18;43
جمادى ثانى;40;9;49;14;35;49;3;9;7;7;23;49;34;15;49
رجب;27;3;30;9;21;30;1;5;5;4;15;30;17;13;30
شعبان;24;10;34;14;20;34;4;5;4;3;18;34;15;19;34
رمضان;63;16;79;36;43;79;7;18;9;16;29;79;42;37;79
