الرياض;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذكور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
الشهر;ذ كور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;59;8;67;19;48;67;15;19;13;5;15;67;53;14;67
صفر;39;5;44;20;24;44;10;18;8;2;6;44;33;11;44
ربيع أول;41;6;47;9;38;47;8;10;22;2;5;47;23;24;47
ربيع ثانى;38;4;42;9;33;42;9;14;8;6;5;42;26;16;42
جمادى أول;48;12;60;11;49;60;12;20;10;7;11;60;24;36;60
جمادى ثانى;46;7;53;8;45;53;9;16;13;8;7;53;32;21;53
رجب;56;9;65;8;57;65;10;21;12;10;12;65;46;19;65
شعبان;56;1;57;7;50;57;13;12;12;8;12;57;39;18;57
رمضان;65;20;85;6;79;85;13;19;23;18;12;85;40;45;85
شوال;45;6;51;11;40;51;5;14;6;15;11;51;30;21;51
ذى القعدة;39;4;43;15;28;43;4;12;13;10;4;43;30;13;43
ذى الحجة;29;1;30;8;22;30;5;6;7;6;6;30;21;9;30
المجموع;561;83;644;131;513;644;113;181;147;97;106;644;397;247;644
العاصمه;; عدد الأشخاص المتوفين حسب الجنس;;عدد الأشخاص المتوفين حسب المكان;;;عدد الأشخاص المتوفين حسب العمر;;;;;;عدد الأشخاص المتوفين حسب الجنسيه;;
الشهر;ذ كــور;أناث;المجموع;داخل المدينه;خارج المدينه;المجموع;أقل من 18;من18 إلى 30;من 30 على 40;من40إلى50;من50فأكثر;المجموع;سعودى;غير سعودى;المجموع
محرم;72;10;82;16;66;82;10;16;7;2;47;82;57;25;82
صفر;73;9;82;18;64;82;9;28;8;6;31;82;55;27;82
ربيع أول;73;9;82;9;73;82;7;18;2;3;52;82;56;26;82
